time,bitrate_kbps,rendition
0.15810608863830566,400,240p
0.3232080936431885,400,240p
0.46694374084472656,400,240p
1.4925017356872559,3000,720p
2.489426612854004,3000,720p
3.398746967315674,3000,720p
4.292206764221191,3000,720p
5.334911108016968,3000,720p
